fixation_index,count,first_frame_idx,last_frame_idx
0,59,670,728
1,59,740,798
2,61,809,869
3,60,879,938
4,60,949,1008
5,60,1019,1078
6,60,1089,1148
7,59,1159,1217
8,61,1228,1288
9,60,1298,1357
