fixation_index,x_px,y_px,rel_x,rel_y
0,256,144,0.2,0.2
1,640,144,0.5,0.2
2,1024,144,0.8,0.2
3,256,360,0.2,0.5
4,640,360,0.5,0.5
5,1024,360,0.8,0.5
6,256,576,0.2,0.8
7,640,576,0.5,0.8
8,1024,576,0.8,0.8
