fixation_index,x_px,y_px,rel_x,rel_y
0,128,360,0.1,0.5
1,230,360,0.18,0.5
2,332,360,0.26,0.5
3,435,360,0.34,0.5
4,537,360,0.42,0.5
5,640,360,0.5,0.5
6,742,360,0.58,0.5
7,844,360,0.66,0.5
8,947,360,0.74,0.5
9,1049,360,0.82,0.5
